event_id,match_id,minute,second,team_name,player_name,event_type,xg,shot_outcome,shot_type,body_part,technique,play_pattern,x,y,end_x,end_y,end_z,is_goal
a8205ac5-c409-4de0-bff2-6ef70188e67f,3753986,41,55,Stoke City,Phil Bardsley,Shot,0.00561884,Off T,Open Play,Right Foot,Normal,Regular Play,83.4,57.9,120.0,29.0,0.2,0
ff6619a2-ad18-4b36-890e-8d620ed0cf02,3753986,45,37,Liverpool,Oluwaseyi Babajide Ojo,Shot,0.04620477,Blocked,Open Play,Left Foot,Normal,Regular Play,104.8,30.7,110.7,33.2,,0
cd112df2-7eb6-47f0-905d-9db9c3305cd2,3753986,45,49,Liverpool,Nathaniel Edwin Clyne,Shot,0.040709868,Saved,Open Play,Right Foot,Normal,Regular Play,101.5,51.5,116.9,42.7,0.2,0
b22f120e-4a9b-43d0-b273-f2d26669c511,3753986,47,31,Liverpool,Alberto Moreno Pérez,Shot,0.050139405,Blocked,Open Play,Left Foot,Normal,From Free Kick,100.3,32.8,104.3,33.0,,0
3a6e2b0b-483b-4981-949a-d4bfdf7bcf15,3753986,49,29,Liverpool,Divock Okoth Origi,Shot,0.26386216,Goal,Open Play,Head,Normal,From Corner,115.1,40.2,120.0,42.7,0.6,1
797f4637-77a5-4abb-b3a8-420004c6d91a,3753986,53,23,Stoke City,Geoff Cameron,Shot,0.11583132,Saved,Open Play,Head,Normal,From Free Kick,111.6,44.6,117.6,42.0,2.0,0
c92d02a3-2307-4859-a014-34109580c65a,3753986,54,34,Stoke City,Peter Crouch,Shot,0.04889107,Blocked,Open Play,Right Foot,Half Volley,From Throw In,104.9,41.2,105.9,41.4,,0
6fd97f53-130f-4278-a952-515e749409ab,3753986,56,55,Liverpool,Roberto Firmino Barbosa de Oliveira,Shot,0.01051855,Saved,Open Play,Right Foot,Normal,Regular Play,111.3,57.7,119.6,44.4,1.3,0
e6b283f3-7c77-4255-89ee-b1138452871e,3753986,57,23,Liverpool,Kevin Linford Stewart,Shot,0.120415986,Wayward,Open Play,Head,Normal,From Corner,111.3,36.5,117.9,16.1,,0
4bb19ab7-a6f1-426d-9afc-c3418e20e7da,3753986,60,12,Liverpool,Divock Okoth Origi,Shot,0.5258913,Off T,Open Play,Head,Normal,From Throw In,113.2,42.8,120.0,47.9,3.4,0
28323a24-d792-40ca-aaf1-144cd777002f,3753986,64,10,Liverpool,Divock Okoth Origi,Shot,0.0061943727,Goal,Open Play,Right Foot,Normal,Regular Play,107.8,16.0,119.9,43.3,0.2,1
c2cd8615-bda3-4378-8cc8-7c86f40ed023,3753986,65,24,Liverpool,Kevin Linford Stewart,Shot,0.024138626,Off T,Open Play,Left Foot,Normal,Regular Play,91.7,35.0,120.0,38.0,7.3,0
1de87532-0fa9-4267-b3d0-40b384e6d345,3753986,65,59,Stoke City,Xherdan Shaqiri,Shot,0.017471274,Off T,Open Play,Left Foot,Half Volley,From Goal Kick,91.3,53.9,120.0,34.0,0.7,0
831eb9c0-f7e7-423c-af0c-a918e45bed9d,3753986,88,5,Liverpool,Adam David Lallana,Shot,0.060797382,Blocked,Open Play,Left Foot,Normal,Regular Play,96.7,37.0,102.5,37.3,,0
33dabf8d-a7f5-4b54-9313-74910be9d6fc,3753986,90,54,Stoke City,Peter Crouch,Shot,0.051684573,Blocked,Open Play,Right Foot,Volley,Regular Play,100.4,38.8,102.5,38.9,,0
1ab19d78-ceae-45cf-bf68-38ec7e240111,3753986,91,33,Liverpool,Nathaniel Edwin Clyne,Shot,0.05473529,Blocked,Open Play,Right Foot,Volley,Regular Play,101.7,34.2,103.9,35.2,,0
e6bd4514-632a-43cf-a9b0-0db1a42a88a2,3753988,2,8,AFC Bournemouth,Joshua King,Shot,0.099493735,Off T,Open Play,Head,Normal,From Throw In,112.2,45.2,120.0,37.0,3.4,0
a92c0880-053a-4663-9b41-a8727b4ec7ae,3753988,4,48,Swansea City,Wayne Routledge,Shot,0.03680548,Off T,Open Play,Right Foot,Volley,From Free Kick,99.4,45.7,120.0,36.8,3.9,0
96bd513d-502e-4024-9740-2cb8da9eb8f7,3753988,7,46,AFC Bournemouth,Joshua King,Shot,0.15224369,Off T,Open Play,Left Foot,Half Volley,From Throw In,109.6,42.6,120.0,37.6,4.6,0
2816b31d-e0ca-4b67-a7f6-583e1777cb16,3753988,9,37,AFC Bournemouth,Matt Ritchie,Shot,0.01943803,Off T,Open Play,Left Foot,Volley,From Free Kick,99.8,53.6,120.0,38.6,3.8,0
41a9b3dd-af7b-4980-9a53-ac36a9aed6fa,3753988,13,24,AFC Bournemouth,Andrew Surman,Shot,0.029454952,Post,Open Play,Left Foot,Normal,From Free Kick,97.0,28.8,120.0,36.2,0.9,0
