match_id,team_name,formation
3754209,Tottenham Hotspur,4-2-3-1
3754209,Manchester United,4-2-3-1
3754210,Norwich City,4-2-3-1
3754210,Manchester United,4-1-4-1
3754214,Aston Villa,4-4-1-1
3754214,Liverpool,4-4-2
3754215,West Bromwich Albion,4-5-1
3754215,Tottenham Hotspur,4-2-3-1
3754216,AFC Bournemouth,4-1-4-1
3754216,Liverpool,4-4-1-1
3754220,Crystal Palace,4-4-2
3754220,Liverpool,4-4-1-1
3754224,Swansea City,4-2-3-1
3754224,Aston Villa,4-2-3-1
3754225,AFC Bournemouth,4-4-2
3754225,West Bromwich Albion,4-2-3-1
3754227,Leicester City,4-4-2
3754227,West Ham United,4-3-3
3754228,Leicester City,4-4-2
3754228,Swansea City,4-1-4-1
3754229,Chelsea,4-2-3-1
3754229,Leicester City,4-2-3-1
3754231,Leicester City,4-4-2
3754231,West Bromwich Albion,4-4-2
3754232,Manchester United,4-2-3-1
3754232,Watford,4-4-2
3754236,West Bromwich Albion,4-3-3
3754236,Crystal Palace,4-4-2
3754239,Manchester United,4-1-4-1
3754239,Arsenal,4-2-3-1
3754241,West Ham United,3-4-3
3754241,Arsenal,4-2-3-1
3754242,AFC Bournemouth,4-4-1-1
3754242,Chelsea,4-2-3-1
3754243,Norwich City,4-4-1-1
3754243,Newcastle United,4-2-3-1
3754244,Norwich City,4-4-1-1
3754244,West Ham United,4-3-3
3754249,Manchester City,4-4-2
3754249,Aston Villa,3-5-2
3754250,Aston Villa,4-3-3
3754250,Leicester City,4-4-2
3754251,West Ham United,4-4-2
3754251,Liverpool,4-2-3-1
3754252,Everton,4-2-3-1
3754252,Newcastle United,4-2-3-1
3754253,AFC Bournemouth,4-1-4-1
3754253,Arsenal,4-2-3-1
3754260,Manchester City,4-4-2
3754260,Crystal Palace,4-1-4-1
3754261,Arsenal,4-2-3-1
3754261,Leicester City,4-4-2
3754262,Aston Villa,4-4-1-1
3754262,AFC Bournemouth,4-4-1-1
3754264,Chelsea,4-2-3-1
3754264,Newcastle United,4-2-3-1
3754295,Manchester United,4-1-4-1
3754295,Aston Villa,4-2-3-1
3754271,Watford,4-1-2-1-2
3754271,Newcastle United,3-4-2-1
3754272,Stoke City,4-2-3-1
3754272,Swansea City,4-1-2-1-2
